"RefDes";"Value";"Name";"Pattern"
"BUT1";"";"PCB_Pushbutton";"Pushbutton"
"C1";"10 uF";"CAP_SMD_A";"TC_1306"
"C2-C4";"100 nF";"CAP_0603";"CAP_0603"
"D1";"";"SMAJ5.0CA";"SMA"
"D2";"";"BAL99";"SOT23"
"D3";"";"0805";"0805"
"J1";"";"CU09SAM";"microUSB"
"J2";"";"HDR-1x3";"HDR-1x3"
"Q1";"";"IRLML2402";"SOT23"
"R1,R10";"10 kOm";"RES_0603";"RES_0603"
"R2";"100 kOm";"RES_0603";"RES_0603"
"R3-R4,R6-R9";"0 Om";"RES_0603";"RES_0603"
"R5";"1 kOm";"RES_0603";"RES_0603"
"REL1";"";"G6S-2";"G6S-2"
"U1";"";"ESP01";"ESP01"
"U2";"";"LP5907MX-3.3/NOPB";"SOT23-5"
